,Wavelength,n,k,comp
457,649,2.063574,0.0,(2.063574+0j)
458,650,2.063309,0.0,(2.063309+0j)
459,651,2.063047,0.0,(2.063047+0j)
460,652,2.062786,0.0,(2.062786+0j)
461,653,2.062528,0.0,(2.062528+0j)
462,654,2.062271,0.0,(2.062271+0j)
463,655,2.062017,0.0,(2.062017+0j)
464,656,2.061764,0.0,(2.061764+0j)
465,657,2.061513,0.0,(2.061513+0j)
466,658,2.061264,0.0,(2.061264+0j)
467,659,2.061016,0.0,(2.061016+0j)
468,660,2.06077,0.0,(2.06077+0j)
469,661,2.060525,0.0,(2.060525+0j)
470,662,2.060282,0.0,(2.060282+0j)
471,663,2.060041,0.0,(2.060041+0j)
472,664,2.059801,0.0,(2.059801+0j)
473,665,2.059563,0.0,(2.059563+0j)
474,666,2.059326,0.0,(2.059326+0j)
475,667,2.059091,0.0,(2.059091+0j)
476,668,2.058857,0.0,(2.058857+0j)
477,669,2.058624,0.0,(2.058624+0j)
478,670,2.058393,0.0,(2.058393+0j)
479,671,2.058163,0.0,(2.058163+0j)
480,672,2.057935,0.0,(2.057935+0j)
481,673,2.057708,0.0,(2.057708+0j)
482,674,2.057482,0.0,(2.057482+0j)
483,675,2.057258,0.0,(2.057258+0j)
484,676,2.057035,0.0,(2.057035+0j)
485,677,2.056813,0.0,(2.056813+0j)
486,678,2.056593,0.0,(2.056593+0j)
487,679,2.056374,0.0,(2.056374+0j)
488,680,2.056156,0.0,(2.056156+0j)
489,681,2.055939,0.0,(2.055939+0j)
490,682,2.055724,0.0,(2.055724+0j)
491,683,2.05551,0.0,(2.05551+0j)
492,684,2.055297,0.0,(2.055297+0j)
493,685,2.055085,0.0,(2.055085+0j)
494,686,2.054875,0.0,(2.054875+0j)
495,687,2.054666,0.0,(2.054666+0j)
496,688,2.054457,0.0,(2.054457+0j)
497,689,2.05425,0.0,(2.05425+0j)
498,690,2.054044,0.0,(2.054044+0j)
499,691,2.053839,0.0,(2.053839+0j)
500,692,2.053636,0.0,(2.053636+0j)
501,693,2.053433,0.0,(2.053433+0j)
502,694,2.053232,0.0,(2.053232+0j)
503,695,2.053032,0.0,(2.053032+0j)
504,696,2.052833,0.0,(2.052833+0j)
505,697,2.052634,0.0,(2.052634+0j)
506,698,2.052437,0.0,(2.052437+0j)
507,699,2.052241,0.0,(2.052241+0j)
508,700,2.052047,0.0,(2.052047+0j)
509,701,2.051853,0.0,(2.051853+0j)
510,702,2.05166,0.0,(2.05166+0j)
511,703,2.051468,0.0,(2.051468+0j)
512,704,2.051277,0.0,(2.051277+0j)
513,705,2.051087,0.0,(2.051087+0j)
514,706,2.050899,0.0,(2.050899+0j)
515,707,2.050711,0.0,(2.050711+0j)
516,708,2.050524,0.0,(2.050524+0j)
517,709,2.050338,0.0,(2.050338+0j)
518,710,2.050153,0.0,(2.050153+0j)
519,711,2.049969,0.0,(2.049969+0j)
520,712,2.049786,0.0,(2.049786+0j)
521,713,2.049604,0.0,(2.049604+0j)
522,714,2.049423,0.0,(2.049423+0j)
523,715,2.049243,0.0,(2.049243+0j)
524,716,2.049064,0.0,(2.049064+0j)
525,717,2.048886,0.0,(2.048886+0j)
526,718,2.048708,0.0,(2.048708+0j)
527,719,2.048532,0.0,(2.048532+0j)
528,720,2.048356,0.0,(2.048356+0j)
529,721,2.048182,0.0,(2.048182+0j)
530,722,2.048008,0.0,(2.048008+0j)
531,723,2.047835,0.0,(2.047835+0j)
532,724,2.047663,0.0,(2.047663+0j)
533,725,2.047492,0.0,(2.047492+0j)
534,726,2.047321,0.0,(2.047321+0j)
535,727,2.047152,0.0,(2.047152+0j)
536,728,2.046983,0.0,(2.046983+0j)
537,729,2.046815,0.0,(2.046815+0j)
538,730,2.046649,0.0,(2.046649+0j)
539,731,2.046482,0.0,(2.046482+0j)
540,732,2.046317,0.0,(2.046317+0j)
541,733,2.046153,0.0,(2.046153+0j)
542,734,2.045989,0.0,(2.045989+0j)
543,735,2.045826,0.0,(2.045826+0j)
544,736,2.045664,0.0,(2.045664+0j)
545,737,2.045503,0.0,(2.045503+0j)
546,738,2.045342,0.0,(2.045342+0j)
547,739,2.045183,0.0,(2.045183+0j)
548,740,2.045024,0.0,(2.045024+0j)
549,741,2.044866,0.0,(2.044866+0j)
550,742,2.044708,0.0,(2.044708+0j)
551,743,2.044552,0.0,(2.044552+0j)
552,744,2.044396,0.0,(2.044396+0j)
553,745,2.044241,0.0,(2.044241+0j)
554,746,2.044086,0.0,(2.044086+0j)
555,747,2.043933,0.0,(2.043933+0j)
556,748,2.04378,0.0,(2.04378+0j)
557,749,2.043628,0.0,(2.043628+0j)
558,750,2.043476,0.0,(2.043476+0j)
559,751,2.043325,0.0,(2.043325+0j)
560,752,2.043175,0.0,(2.043175+0j)
561,753,2.043026,0.0,(2.043026+0j)
562,754,2.042877,0.0,(2.042877+0j)
563,755,2.042729,0.0,(2.042729+0j)
564,756,2.042582,0.0,(2.042582+0j)
565,757,2.042436,0.0,(2.042436+0j)
566,758,2.04229,0.0,(2.04229+0j)
567,759,2.042145,0.0,(2.042145+0j)
568,760,2.042,0.0,(2.042+0j)
569,761,2.041857,0.0,(2.041857+0j)
570,762,2.041713,0.0,(2.041713+0j)
571,763,2.041571,0.0,(2.041571+0j)
572,764,2.041429,0.0,(2.041429+0j)
573,765,2.041288,0.0,(2.041288+0j)
574,766,2.041147,0.0,(2.041147+0j)
575,767,2.041008,0.0,(2.041008+0j)
576,768,2.040869,0.0,(2.040869+0j)
577,769,2.04073,0.0,(2.04073+0j)
578,770,2.040592,0.0,(2.040592+0j)
579,771,2.040454,0.0,(2.040454+0j)
580,772,2.040318,0.0,(2.040318+0j)
581,773,2.040182,0.0,(2.040182+0j)
582,774,2.040046,0.0,(2.040046+0j)
583,775,2.039912,0.0,(2.039912+0j)
584,776,2.039777,0.0,(2.039777+0j)
585,777,2.039644,0.0,(2.039644+0j)
586,778,2.039511,0.0,(2.039511+0j)
